defect_id,test_id,req_id,module,severity,release,description,status
DEF-555,TC-059,REQ-030,Doctor Management,Low,R3,Defect in Doctor Management during R3 testing,Resolved
DEF-556,TC-140,REQ-070,Laboratory,High,R1,Defect in Laboratory during R1 testing,Open
DEF-557,TC-173,REQ-087,Billing,Medium,R2,Defect in Billing during R2 testing,Resolved
DEF-558,TC-064,REQ-032,Emergency Department,Low,R2,Defect in Emergency Department during R2 testing,Resolved
DEF-559,TC-015,REQ-008,Patient Registration,High,R4,Defect in Patient Registration during R4 testing,Resolved
DEF-560,TC-097,REQ-049,Inpatient Management,High,R2,Defect in Inpatient Management during R2 testing,Resolved
DEF-561,TC-114,REQ-057,Pharmacy,High,R1,Defect in Pharmacy during R1 testing,Closed
DEF-562,TC-154,REQ-077,Radiology,Medium,R1,Defect in Radiology during R1 testing,Resolved
DEF-563,TC-177,REQ-089,Billing,High,R3,Defect in Billing during R3 testing,Open
DEF-564,TC-174,REQ-087,Billing,Medium,R1,Defect in Billing during R1 testing,Resolved
DEF-565,TC-129,REQ-065,Laboratory,Medium,R2,Defect in Laboratory during R2 testing,Open
DEF-566,TC-200,REQ-100,Insurance,Low,R3,Defect in Insurance during R3 testing,Open
DEF-567,TC-058,REQ-029,Doctor Management,Medium,R1,Defect in Doctor Management during R1 testing,Open
DEF-568,TC-180,REQ-090,Billing,Medium,R3,Defect in Billing during R3 testing,Closed
DEF-569,TC-070,REQ-035,Emergency Department,Critical,R4,Defect in Emergency Department during R4 testing,Closed
DEF-570,TC-040,REQ-020,Appointment Management,Low,R1,Defect in Appointment Management during R1 testing,Closed
DEF-571,TC-158,REQ-079,Radiology,High,R4,Defect in Radiology during R4 testing,Closed
DEF-572,TC-164,REQ-082,Billing,Medium,R2,Defect in Billing during R2 testing,Resolved
DEF-573,TC-059,REQ-030,Doctor Management,Medium,R2,Defect in Doctor Management during R2 testing,Resolved
DEF-574,TC-143,REQ-072,Radiology,Low,R1,Defect in Radiology during R1 testing,Closed
DEF-575,TC-172,REQ-086,Billing,Medium,R4,Defect in Billing during R4 testing,Open
DEF-576,TC-043,REQ-022,Doctor Management,Medium,R4,Defect in Doctor Management during R4 testing,Closed
DEF-577,TC-139,REQ-070,Laboratory,High,R2,Defect in Laboratory during R2 testing,Resolved
DEF-578,TC-137,REQ-069,Laboratory,High,R2,Defect in Laboratory during R2 testing,Closed
DEF-579,TC-012,REQ-006,Patient Registration,Low,R2,Defect in Patient Registration during R2 testing,Closed
DEF-580,TC-015,REQ-008,Patient Registration,Critical,R1,Defect in Patient Registration during R1 testing,Resolved
DEF-581,TC-104,REQ-052,Pharmacy,High,R3,Defect in Pharmacy during R3 testing,Open
DEF-582,TC-007,REQ-004,Patient Registration,High,R1,Defect in Patient Registration during R1 testing,Closed
DEF-583,TC-199,REQ-100,Insurance,Low,R3,Defect in Insurance during R3 testing,Closed
DEF-584,TC-076,REQ-038,Emergency Department,Medium,R4,Defect in Emergency Department during R4 testing,Open
DEF-585,TC-076,REQ-038,Emergency Department,Low,R2,Defect in Emergency Department during R2 testing,Open
DEF-586,TC-176,REQ-088,Billing,Low,R1,Defect in Billing during R1 testing,Open
DEF-587,TC-146,REQ-073,Radiology,Low,R3,Defect in Radiology during R3 testing,Resolved
DEF-588,TC-125,REQ-063,Laboratory,Medium,R1,Defect in Laboratory during R1 testing,Open
DEF-589,TC-013,REQ-007,Patient Registration,Medium,R1,Defect in Patient Registration during R1 testing,Closed
DEF-590,TC-014,REQ-007,Patient Registration,High,R1,Defect in Patient Registration during R1 testing,Closed
DEF-591,TC-240,REQ-120,User Access Management,Low,R2,Defect in User Access Management during R2 testing,Resolved
DEF-592,TC-013,REQ-007,Patient Registration,High,R3,Defect in Patient Registration during R3 testing,Open
DEF-593,TC-077,REQ-039,Emergency Department,Critical,R2,Defect in Emergency Department during R2 testing,Resolved
DEF-594,TC-199,REQ-100,Insurance,Low,R1,Defect in Insurance during R1 testing,Closed
DEF-595,TC-231,REQ-116,User Access Management,High,R1,Defect in User Access Management during R1 testing,Closed
DEF-596,TC-075,REQ-038,Emergency Department,High,R3,Defect in Emergency Department during R3 testing,Resolved
DEF-597,TC-109,REQ-055,Pharmacy,Medium,R3,Defect in Pharmacy during R3 testing,Open
DEF-598,TC-170,REQ-085,Billing,High,R2,Defect in Billing during R2 testing,Open
DEF-599,TC-072,REQ-036,Emergency Department,Medium,R4,Defect in Emergency Department during R4 testing,Closed
DEF-600,TC-190,REQ-095,Insurance,High,R2,Defect in Insurance during R2 testing,Closed
